time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
2000-02-17-22; 0.3140; 4.0289
2000-02-17-23; 0.3851; 3.3613
2000-02-18-00; 0.4209; 3.3672
2000-02-18-01; 0.3974; 3.1810
2000-02-18-02; 0.2831; 3.3055
2000-02-18-03; 0.2300; 3.3985
2000-02-18-04; 0.2468; 3.3847
2000-02-18-05; 0.2532; 3.5469
2000-02-18-06; 0.2119; 4.2975
2000-02-18-07; 0.2022; 4.4376
2000-02-18-08; 0.2402; 4.8780
2000-02-18-09; 0.2175; 4.8220
2000-02-18-10; 0.2516; 5.1723
2000-02-18-11; 0.2595; 4.3821
2000-02-18-12; 0.2484; 4.2254
2000-02-18-13; 0.2532; 4.0996
2000-02-18-14; 0.3101; 3.3617
2000-02-18-15; 0.3525; 3.2817
2000-02-18-16; 0.3036; 3.4274
2000-02-18-17; 0.2656; 3.9289
2000-02-18-18; 0.2671; 4.7339
2000-02-18-19; 0.2760; 5.4135
2000-02-18-20; 0.2452; 5.6510
2000-02-18-21; 0.2468; 5.9956
2000-02-18-22; 0.2686; 7.3535
2000-02-18-23; 0.2656; 5.1619
2000-02-19-00; 0.4404; 3.2127
2000-02-19-01; 0.7129; 3.3190
2000-02-19-02; 0.8513; 3.5670
2000-02-19-03; 0.8517; 3.5562
2000-02-19-04; 0.9767; 3.6256
2000-02-19-05; 1.2950; 3.8690
2000-02-19-06; 1.3469; 3.9894
2000-02-19-07; 1.4544; 4.2820
2000-02-19-08; 1.3687; 4.2973
2000-02-19-09; 1.5228; 4.5102
2000-02-19-10; 1.6606; 4.7040
2000-02-19-11; 1.7740; 5.0798
2000-02-19-12; 1.8516; 5.2205
2000-02-19-13; 1.7652; 5.1748
2000-02-19-14; 2.1672; 5.6889
2000-02-19-15; 2.1161; 5.6475
2000-02-19-16; 2.1775; 5.9209
2000-02-19-17; 2.1340; 5.9716
2000-02-19-18; 2.4638; 6.6397
2000-02-19-19; 2.4974; 6.7779
2000-02-19-20; 2.3259; 6.7195
2000-02-19-21; 2.7422; 7.2985
2000-02-19-22; 2.7223; 7.4766
2000-02-19-23; 2.7028; 7.5616
2000-02-20-00; 2.5508; 7.2840
2000-02-20-01; 2.5271; 7.5332
2000-02-20-02; 2.0892; 6.6500
2000-02-20-03; 1.9558; 6.8119
2000-02-20-04; 1.9207; 6.7535
2000-02-20-05; 1.7790; 6.7042
2000-02-20-06; 1.6316; 6.7774
2000-02-20-07; 1.6502; 7.0754
2000-02-20-08; 1.7442; 7.4046
2000-02-20-09; 1.7117; 7.6737
2000-02-20-10; 1.6843; 7.8589
2000-02-20-11; 1.6516; 7.6406
2000-02-20-12; 1.5776; 7.4476
2000-02-20-13; 1.5096; 7.2985
2000-02-20-14; 1.4539; 7.4552
2000-02-20-15; 1.3522; 6.7958
2000-02-20-16; 1.1466; 6.5250
2000-02-20-17; 1.0586; 6.5767
2000-02-20-18; 0.9885; 5.5895
2000-02-20-19; 0.9865; 5.1419
2000-02-20-20; 1.1601; 5.2976
2000-02-20-21; 1.1660; 5.2772
2000-02-20-22; 1.0885; 5.8144
2000-02-20-23; 1.0807; 6.1751
2000-02-21-00; 1.0121; 6.7381
2000-02-21-01; 1.0321; 6.3807
2000-02-21-02; 0.9791; 5.4573
2000-02-21-03; 0.9424; 4.8495
2000-02-21-04; 0.8288; 4.6992
2000-02-21-05; 0.8522; 4.3697
2000-02-21-06; 0.8259; 4.2777
2000-02-21-07; 0.7851; 4.4441
2000-02-21-08; 0.7339; 4.6344
2000-02-21-09; 0.6325; 4.5578
2000-02-21-10; 0.6646; 4.9103
2000-02-21-11; 0.6344; 4.9245
2000-02-21-12; 0.6337; 5.2271
2000-02-21-13; 0.5740; 5.4012
2000-02-21-14; 0.5439; 4.5326
2000-02-21-15; 0.5563; 4.0972
2000-02-21-16; 0.5775; 3.9500
2000-02-21-17; 0.5670; 3.7271
2000-02-21-18; 0.5555; 3.5079
2000-02-21-19; 0.4896; 3.6710
2000-02-21-20; 0.4266; 3.5506
2000-02-21-21; 0.3386; 4.0882
2000-02-21-22; 0.3861; 3.9098
2000-02-21-23; 0.3302; 4.1009
2000-02-22-00; 0.3882; 4.1681
2000-02-22-01; 0.4256; 4.1507
2000-02-22-02; 0.3637; 3.9906
2000-02-22-03; 0.3338; 4.3463
2000-02-22-04; 0.3165; 4.4783
2000-02-22-05; 0.2730; 4.5155
2000-02-22-06; 0.2500; 4.8158
2000-02-22-07; 0.2300; 4.7737
2000-02-22-08; 0.2042; 5.7481
2000-02-22-09; 0.1878; 8.2838
2000-02-22-11; 0.2983; 3.8674
2000-02-22-12; 0.3670; 3.7562
2000-02-22-13; 0.3350; 3.7999
2000-02-22-14; 0.3350; 3.8485
2000-02-22-15; 0.3491; 3.8370
2000-02-22-16; 0.3648; 3.9812
2000-02-22-17; 0.3692; 3.8936
2000-02-22-18; 0.3702; 3.8908
2000-02-22-19; 0.3362; 3.8199
2000-02-22-20; 0.3314; 3.9591
2000-02-22-21; 0.3830; 3.9575
2000-02-22-22; 0.5446; 3.7242
2000-02-22-23; 0.6086; 3.8006
2000-02-23-00; 0.7067; 4.0205
2000-02-23-01; 0.6836; 3.9546
2000-02-23-02; 0.6871; 3.9630
2000-02-23-03; 0.7948; 4.0598
2000-02-23-04; 0.9614; 4.2007
2000-02-23-05; 1.1107; 4.3610
2000-02-23-06; 1.1851; 4.3218
2000-02-23-07; 1.3492; 4.4112
2000-02-23-08; 1.4142; 4.5447
2000-02-23-09; 1.3655; 4.5632
2000-02-23-10; 1.4487; 4.6288
2000-02-23-11; 1.3939; 4.6018
2000-02-23-12; 1.4057; 4.7713
2000-02-23-13; 1.4156; 4.6248
2000-02-23-14; 1.3322; 4.5491
2000-02-23-15; 1.3201; 4.5497
2000-02-23-16; 1.3192; 4.6056
2000-02-23-17; 1.4328; 4.5302
2000-02-23-18; 1.5149; 4.6268
2000-02-23-19; 1.5978; 4.6589
2000-02-23-20; 1.4043; 4.5769
2000-02-23-21; 1.3158; 4.6412
2000-02-23-22; 1.3201; 4.7327
2000-02-23-23; 1.2483; 4.5971
2000-02-24-00; 1.1780; 4.6905
2000-02-24-01; 1.1336; 4.7822
2000-02-24-02; 1.0548; 4.5936
2000-02-24-03; 1.1549; 4.7038
2000-02-24-04; 1.1441; 4.7595
2000-02-24-05; 1.1132; 4.7911
2000-02-24-06; 1.0811; 4.7117
2000-02-24-07; 0.9437; 4.5920
2000-02-24-08; 0.9020; 4.5304
2000-02-24-09; 0.8588; 4.6862
2000-02-24-10; 0.8274; 4.6597
2000-02-24-11; 0.7902; 4.5945
2000-02-24-12; 0.7421; 4.5016
2000-02-24-13; 0.7410; 4.6051
2000-02-24-14; 0.7050; 4.5390
2000-02-24-15; 0.6597; 4.6015
2000-02-24-17; 0.6235; 4.6192
2000-02-24-18; 0.5782; 4.7522
2000-02-24-19; 0.5439; 4.6804
2000-02-24-20; 0.5041; 4.7705
2000-02-24-21; 0.4993; 4.9986
2000-02-24-22; 0.4838; 5.0192
2000-02-24-23; 0.4678; 5.0943
2000-02-25-00; 0.4863; 5.1327
2000-02-25-01; 0.4754; 5.2476
2000-02-25-02; 0.5033; 5.2672
2000-02-25-03; 0.4838; 5.4195
2000-02-25-04; 0.5033; 5.4840
2000-02-25-05; 0.4871; 5.4658
2000-02-25-06; 0.4805; 5.7292
2000-02-25-07; 0.4635; 5.6833
2000-02-25-08; 0.4754; 5.6221
2000-02-25-09; 0.4821; 5.8483
2000-02-25-10; 0.5151; 5.2944
2000-02-25-11; 0.7044; 3.7143
2000-02-25-12; 0.9257; 3.8674
2000-02-25-13; 1.0559; 4.1494
2000-02-25-14; 1.1995; 4.2303
2000-02-25-15; 1.3699; 4.5284
2000-02-25-16; 1.5812; 4.7231
2000-02-25-17; 1.7599; 4.9141
2000-02-25-18; 1.4936; 4.7917
2000-02-25-19; 1.6487; 4.8143
2000-02-25-20; 1.5898; 4.9300
2000-02-25-21; 1.5030; 4.8603
2000-02-25-22; 1.5685; 4.8978
2000-02-25-23; 1.5035; 4.7396
2000-02-26-00; 1.4423; 4.7105
2000-02-26-01; 1.2844; 4.6387
2000-02-26-02; 1.3149; 4.7344
2000-02-26-03; 1.2354; 4.7123
2000-02-26-04; 1.2237; 4.7713
2000-02-26-05; 1.2445; 4.9196
2000-02-26-06; 1.1989; 4.8329
2000-02-26-07; 1.2595; 5.0164
2000-02-26-08; 1.2769; 5.0652
2000-02-26-09; 1.2816; 4.8573
2000-02-26-10; 1.3596; 5.0317
2000-02-26-11; 1.3070; 4.8468
2000-02-26-12; 1.3213; 5.0328
2000-02-26-13; 1.3137; 5.2304
2000-02-26-14; 1.2595; 5.1530
2000-02-26-15; 1.3334; 5.2618
2000-02-26-16; 1.2909; 5.3224
2000-02-26-17; 1.3666; 5.3994
2000-02-26-18; 1.3207; 5.3516
2000-02-26-19; 1.2633; 5.2543
2000-02-26-20; 1.2731; 5.4395
2000-02-26-21; 1.3204; 5.4465
2000-02-26-22; 1.1483; 5.2306
2000-02-26-23; 1.2835; 5.2913
2000-02-27-00; 1.1813; 5.2628
2000-02-27-01; 1.1371; 5.2367
2000-02-27-02; 1.0464; 5.1926
2000-02-27-03; 1.0594; 5.1124
2000-02-27-04; 1.0833; 5.2202
2000-02-27-05; 1.0483; 5.2783
2000-02-27-06; 1.0518; 5.2955
2000-02-27-07; 1.1179; 5.2619
2000-02-27-08; 1.0153; 5.1869
2000-02-27-09; 1.0639; 5.0411
2000-02-27-10; 1.0796; 5.1720
2000-02-27-11; 1.0368; 5.2754
2000-02-27-12; 0.9966; 5.2889
2000-02-27-13; 0.9701; 5.1934
2000-02-27-14; 0.9462; 5.1635
2000-02-27-15; 0.8998; 5.0739
2000-02-27-16; 0.8555; 5.0481
2000-02-27-17; 0.8868; 5.3751
2000-02-27-18; 0.8676; 5.1748
2000-02-27-19; 0.9073; 5.1392
2000-02-27-20; 0.9148; 5.1467
2000-02-27-21; 0.8327; 5.0567
2000-02-27-22; 0.8662; 4.9016
2000-02-27-23; 0.8745; 4.9549
2000-02-28-00; 0.9407; 4.9356
2000-02-28-01; 0.9893; 4.8660
2000-02-28-02; 1.0943; 4.5412
2000-02-28-03; 1.0329; 4.6789
2000-02-28-04; 1.1989; 4.6127
2000-02-28-05; 1.2276; 4.6278
2000-02-28-06; 1.1332; 4.6857
2000-02-28-07; 1.1013; 4.6344
2000-02-28-08; 1.2211; 4.8077
2000-02-28-09; 1.1800; 4.7604
2000-02-28-10; 1.2354; 4.7046
2000-02-28-11; 1.3442; 4.5688
2000-02-28-12; 1.4364; 4.7749
2000-02-28-13; 1.6582; 4.9169
2000-02-28-14; 1.5600; 4.7957
2000-02-28-15; 1.5659; 4.8705
2000-02-28-16; 1.5310; 5.0710
2000-02-28-17; 1.4627; 5.1617
2000-02-28-18; 1.4151; 5.3794
2000-02-28-19; 1.3364; 5.6117
2000-02-28-20; 1.4866; 5.8419
2000-02-28-21; 1.2662; 5.7677
2000-02-28-22; 1.2640; 6.0265
2000-02-28-23; 1.0998; 5.7595
2000-02-29-00; 0.9861; 5.8292
2000-02-29-01; 0.9672; 5.8479
2000-02-29-02; 0.9292; 5.8183
2000-02-29-03; 0.9689; 5.9948
2000-02-29-04; 0.8731; 6.0096
2000-02-29-05; 0.8023; 6.1389
2000-02-29-06; 0.6941; 5.8844
2000-02-29-07; 0.7033; 6.1292
2000-02-29-08; 0.6413; 6.1808
2000-02-29-09; 0.7702; 4.1232
2000-02-29-10; 0.8404; 3.8307
2000-02-29-11; 0.8132; 3.6738
2000-02-29-12; 0.9643; 3.8419
2000-02-29-13; 0.9403; 3.6811
2000-02-29-14; 0.9526; 3.7937
2000-02-29-15; 0.8727; 3.6976
2000-02-29-16; 0.8288; 3.7100
2000-02-29-17; 0.9257; 3.7812
2000-02-29-18; 0.9304; 3.6626
2000-02-29-19; 0.8899; 3.7205
2000-02-29-20; 0.7129; 3.7352
2000-02-29-21; 0.6836; 3.7986
2000-02-29-22; 0.7095; 3.7808
2000-02-29-23; 0.6438; 3.6623
2000-03-01-01; 0.5394; 3.7290
2000-03-01-02; 0.5761; 3.7809
2000-03-01-03; 0.6555; 3.8795
2000-03-01-04; 0.6158; 3.6847
2000-03-01-05; 0.7027; 4.2661
2000-03-01-06; 0.6842; 4.5947
2000-03-01-07; 0.6906; 4.6110
2000-03-01-08; 0.6964; 5.4266
2000-03-01-09; 0.6819; 6.4327
2000-03-01-10; 0.6824; 6.4846
2000-03-01-11; 0.7135; 6.6270
2000-03-01-12; 0.8152; 7.0907
2000-03-01-13; 0.7790; 7.3187
2000-03-01-14; 0.8053; 7.7549
2000-03-01-15; 0.8522; 8.3061
2000-03-01-16; 0.9660; 8.9051
2000-03-01-17; 1.1071; 9.0267
2000-03-01-18; 0.9962; 9.0135
2000-03-01-19; 1.0781; 8.9299
2000-03-01-20; 1.0646; 9.0061
2000-03-01-21; 0.8602; 7.8221
2000-03-01-22; 0.9082; 8.1800
2000-03-01-23; 0.9597; 8.3920
2000-03-02-00; 0.8931; 8.5436
2000-03-02-01; 0.8574; 8.3633
2000-03-02-02; 0.8073; 7.8929
2000-03-02-03; 1.0236; 8.8170
2000-03-02-04; 0.8643; 7.6236
2000-03-02-05; 1.0169; 7.2824
2000-03-02-06; 1.0271; 6.3976
2000-03-02-07; 1.1125; 5.5071
2000-03-02-08; 1.2220; 5.6490
2000-03-02-09; 1.2207; 5.6111
2000-03-02-10; 1.2165; 5.3294
2000-03-02-11; 1.1979; 5.2628
2000-03-02-12; 0.9750; 5.1837
2000-03-02-13; 0.9618; 5.3314
2000-03-02-14; 0.9360; 5.5690
2000-03-02-15; 0.9064; 5.9722
2000-03-02-16; 1.0038; 6.8022
2000-03-02-17; 0.8822; 6.4279
2000-03-02-18; 0.8484; 6.5370
2000-03-02-19; 0.8704; 7.2523
2000-03-02-20; 0.8998; 7.7070
2000-03-02-21; 0.8451; 7.4727
2000-03-02-22; 0.8404; 7.8136
2000-03-02-23; 0.8048; 7.4408
2000-03-03-00; 0.7084; 7.0232
2000-03-03-01; 0.7174; 5.8431
2000-03-03-02; 0.7185; 4.9306
2000-03-03-03; 0.6688; 6.5546
2000-03-03-04; 0.5919; 7.6131
2000-03-03-05; 0.6700; 8.0405
2000-03-03-06; 0.6274; 6.7701
2000-03-03-07; 0.6981; 6.4766
2000-03-03-08; 0.7345; 5.2900
2000-03-03-09; 0.7067; 5.3880
2000-03-03-10; 0.6591; 5.7836
2000-03-03-11; 0.5837; 6.3501
2000-03-03-12; 0.5025; 5.5965
2000-03-03-13; 0.5128; 4.9118
2000-03-03-14; 0.5761; 3.9140
2000-03-03-15; 0.5402; 3.7146
2000-03-03-16; 0.5402; 3.6599
2000-03-03-17; 0.6053; 3.4545
2000-03-03-18; 0.5775; 3.4937
2000-03-03-19; 0.6105; 3.3430
2000-03-03-20; 0.6039; 3.5644
2000-03-03-21; 0.6438; 3.4597
2000-03-03-22; 0.5912; 3.5154
2000-03-03-23; 0.6748; 3.4990
2000-03-04-00; 0.7712; 3.4455
2000-03-04-01; 0.6664; 3.3774
2000-03-04-02; 0.7841; 3.3194
2000-03-04-03; 0.7038; 3.2162
2000-03-04-04; 0.6964; 3.1600
2000-03-04-05; 0.5775; 3.0993
2000-03-04-06; 0.5402; 3.0025
2000-03-04-07; 0.4695; 2.8783
2000-03-04-08; 0.4247; 2.9326
2000-03-04-09; 0.4512; 3.0221
2000-03-04-10; 0.6254; 3.0895
2000-03-04-11; 0.5025; 3.1756
2000-03-04-12; 0.4477; 3.1649
2000-03-04-13; 0.4477; 3.0704
2000-03-04-14; 0.5259; 3.0214
2000-03-04-15; 0.4754; 3.0440
2000-03-04-16; 0.3974; 3.1068
2000-03-04-17; 0.3140; 3.1967
2000-03-04-18; 0.2283; 3.8884
2000-03-04-19; 0.1768; 5.1702
2000-03-04-20; 0.2002; 5.8513
2000-03-04-21; 0.2193; 8.0073
2000-03-04-22; 0.2193; 8.0313
2000-03-04-23; 0.2300; 7.5404
2000-03-05-00; 0.2845; 6.0887
2000-03-05-01; 0.2774; 7.0505
2000-03-05-02; 0.2626; 7.2169
2000-03-05-03; 0.2532; 7.1215
2000-03-05-04; 0.2915; 6.6798
2000-03-05-05; 0.2500; 6.8793
2000-03-05-06; 0.2626; 7.6971
2000-03-05-07; 0.2831; 7.3922
2000-03-05-08; 0.2887; 7.2614
2000-03-05-09; 0.2887; 6.9827
2000-03-05-10; 0.3049; 7.1225
2000-03-05-11; 0.3326; 6.6570
2000-03-05-12; 0.3228; 5.7500
2000-03-05-13; 0.3491; 5.4629
2000-03-05-14; 0.3398; 5.9987
2000-03-05-15; 0.3101; 6.3438
2000-03-05-16; 0.2996; 6.4682
2000-03-05-17; 0.3191; 5.8714
2000-03-05-18; 0.3049; 6.2046
2000-03-05-19; 0.2859; 6.6306
2000-03-05-20; 0.2996; 6.7516
2000-03-05-21; 0.3326; 6.0236
2000-03-05-22; 0.3191; 5.8525
2000-03-05-23; 0.2996; 5.6710
2000-03-06-00; 0.3513; 4.0132
2000-03-06-01; 0.3604; 3.8453
2000-03-06-02; 0.3203; 3.7194
2000-03-06-03; 0.2626; 5.2581
2000-03-06-04; 0.2548; 6.2951
2000-03-06-05; 0.2369; 7.5587
2000-03-06-06; 0.2119; 7.9066
2000-03-06-07; 0.2193; 8.7762
2000-03-06-08; 0.2386; 5.6234
2000-03-06-09; 0.2211; 5.0049
2000-03-06-10; 0.2532; 3.8074
2000-03-06-11; 0.2716; 3.8709
2000-03-06-12; 0.2436; 3.9191
2000-03-06-13; 0.2745; 3.3254
2000-03-06-14; 0.4661; 3.0878
2000-03-06-15; 0.5282; 3.0832
2000-03-06-16; 0.4780; 3.1508
2000-03-06-17; 0.5387; 3.1289
2000-03-06-18; 0.4904; 2.9847
2000-03-06-19; 0.4132; 3.0375
2000-03-06-20; 0.3592; 2.9902
2000-03-06-21; 0.3954; 3.0872
2000-03-06-22; 0.3820; 3.0676
2000-03-06-23; 0.4228; 3.0326
2000-03-07-00; 0.3581; 3.1807
2000-03-07-01; 0.3767; 3.1181
2000-03-07-02; 0.4113; 3.1673
2000-03-07-03; 0.3964; 3.1275
2000-03-07-04; 0.2579; 3.3557
2000-03-07-05; 0.2081; 3.7648
2000-03-07-06; 0.2317; 4.0982
2000-03-07-07; 0.1899; 5.5264
2000-03-07-08; 0.2002; 6.5563
2000-03-07-09; 0.1878; 7.9936
2000-03-07-10; 0.2119; 7.6202
2000-03-07-11; 0.1941; 6.1590
2000-03-07-12; 0.2042; 7.7134
2000-03-07-13; 0.2247; 4.7770
2000-03-07-14; 0.2138; 4.1357
2000-03-07-15; 0.2610; 3.3997
2000-03-07-16; 0.2774; 3.6910
2000-03-07-17; 0.2516; 4.1383
2000-03-07-18; 0.2701; 4.0024
2000-03-07-19; 0.3076; 4.0785
2000-03-07-20; 0.3702; 4.1491
2000-03-07-21; 0.3277; 4.0885
2000-03-07-22; 0.3089; 4.1496
2000-03-07-23; 0.2873; 4.3080
2000-03-08-00; 0.2996; 4.1112
2000-03-08-01; 0.3479; 4.0306
2000-03-08-02; 0.3702; 4.0693
2000-03-08-03; 0.3409; 3.8730
2000-03-08-04; 0.2956; 4.0986
2000-03-08-05; 0.2468; 4.0719
2000-03-08-06; 0.2300; 4.7554
2000-03-08-07; 0.2265; 5.1114
2000-03-08-08; 0.2229; 5.7994
2000-03-08-09; 0.2119; 6.2878
2000-03-08-10; 0.2716; 5.4650
2000-03-08-11; 0.2564; 5.4403
2000-03-08-12; 0.2564; 5.5842
2000-03-08-13; 0.2774; 5.1023
2000-03-08-14; 0.2626; 5.1755
2000-03-08-15; 0.2532; 5.1820
2000-03-08-16; 0.2730; 4.5358
2000-03-08-17; 0.2929; 4.4950
2000-03-08-18; 0.3241; 4.3648
2000-03-08-19; 0.3265; 4.2719
2000-03-08-20; 0.3409; 4.4369
2000-03-08-21; 0.3468; 4.6833
2000-03-08-22; 0.3615; 4.6243
2000-03-08-23; 0.3525; 4.6052
2000-03-09-00; 0.3525; 4.6947
2000-03-09-01; 0.3314; 4.5024
2000-03-09-02; 0.3265; 4.5435
2000-03-09-03; 0.3830; 3.9616
2000-03-09-04; 0.4477; 3.6430
2000-03-09-05; 0.5823; 3.5019
2000-03-09-06; 0.7826; 3.7145
2000-03-09-07; 0.9240; 3.8715
2000-03-09-08; 0.9538; 3.9775
2000-03-09-09; 0.9857; 4.2051
2000-03-09-10; 0.9962; 4.1905
2000-03-09-11; 1.0372; 4.2855
2000-03-09-12; 1.1318; 4.3993
2000-03-09-13; 1.2230; 4.4825
2000-03-09-14; 1.2850; 4.5211
2000-03-09-15; 1.1742; 4.5851
2000-03-09-16; 1.1885; 4.7278
2000-03-09-17; 1.1670; 4.7873
2000-03-09-18; 1.0468; 4.6760
2000-03-09-19; 1.1121; 4.8482
2000-03-09-20; 1.1211; 4.9454
2000-03-09-21; 1.1615; 4.8207
2000-03-09-22; 1.1406; 4.8678
2000-03-09-23; 1.1580; 4.9490
2000-03-10-00; 1.1656; 5.1653
2000-03-10-01; 1.2256; 5.0767
2000-03-10-02; 1.2794; 5.3841
2000-03-10-03; 1.2959; 5.4206
2000-03-10-04; 1.3048; 5.2147
2000-03-10-05; 1.1653; 5.1546
2000-03-10-06; 1.2075; 5.3761
2000-03-10-07; 1.1501; 5.2605
2000-03-10-08; 1.0684; 5.2322
2000-03-10-09; 1.0729; 5.4808
2000-03-10-10; 1.0414; 4.7852
2000-03-10-11; 0.9643; 4.2249
2000-03-10-12; 0.9998; 3.9912
2000-03-10-13; 0.9974; 4.1616
2000-03-10-14; 0.9335; 4.0082
2000-03-10-15; 0.8370; 4.1042
2000-03-10-16; 0.8704; 4.1875
2000-03-10-17; 0.9399; 4.0453
2000-03-10-18; 0.9576; 4.0882
2000-03-10-19; 0.9614; 4.1682
2000-03-10-20; 0.8569; 4.1165
2000-03-10-21; 0.7671; 4.1354
2000-03-10-22; 0.8003; 4.3723
2000-03-10-23; 0.8690; 4.3638
2000-03-11-00; 0.8809; 4.4946
2000-03-11-01; 0.9610; 4.5023
2000-03-11-02; 0.9828; 4.5242
2000-03-11-03; 1.1612; 4.6971
2000-03-11-04; 1.1780; 4.6160
2000-03-11-05; 1.1494; 4.6487
2000-03-11-06; 1.0387; 4.5614
2000-03-11-07; 1.0204; 4.4577
2000-03-11-08; 1.0070; 4.4615
2000-03-11-09; 1.0212; 4.3052
2000-03-11-10; 1.1139; 4.3370
2000-03-11-11; 1.0279; 4.2119
2000-03-11-12; 1.1371; 4.4748
2000-03-11-13; 1.1078; 4.4863
2000-03-11-14; 1.1490; 4.5271
2000-03-11-15; 1.2273; 4.6294
2000-03-11-16; 1.1979; 4.7778
2000-03-11-17; 1.0736; 4.5869
2000-03-11-18; 1.1399; 4.5373
2000-03-11-19; 1.2102; 4.5290
2000-03-11-20; 1.2098; 4.5137
2000-03-11-21; 1.2984; 4.5428
2000-03-11-22; 1.1925; 4.5646
2000-03-11-23; 1.2531; 4.4081
2000-03-12-00; 1.4105; 4.6337
2000-03-12-01; 1.4673; 4.5194
2000-03-12-02; 1.6586; 4.7183
2000-03-12-03; 1.7245; 4.9226
2000-03-12-04; 1.9577; 5.2156
2000-03-12-05; 2.1340; 5.4030
2000-03-12-06; 2.2623; 5.4670
2000-03-12-07; 2.3487; 5.4342
2000-03-12-08; 2.3576; 5.6497
2000-03-12-09; 2.4352; 5.7370
2000-03-12-10; 2.6529; 5.8670
2000-03-12-11; 2.4608; 6.0851
2000-03-12-12; 2.6597; 6.3352
2000-03-12-13; 2.4749; 6.3207
2000-03-12-14; 2.5442; 6.7952
2000-03-12-15; 2.4154; 6.8398
2000-03-12-16; 2.1011; 6.6539
2000-03-12-17; 1.9075; 6.4477
2000-03-12-18; 1.9784; 6.3948
2000-03-12-19; 1.9847; 6.4375
2000-03-12-20; 1.8237; 6.4524
2000-03-12-21; 1.5966; 6.3088
2000-03-12-22; 1.6829; 6.6684
2000-03-12-23; 1.5080; 6.7210
2000-03-13-00; 1.4412; 6.9124
2000-03-13-01; 1.3948; 6.9383
2000-03-13-02; 1.5022; 7.2107
2000-03-13-03; 1.4359; 5.3275
2000-03-13-04; 1.3355; 5.6741
2000-03-13-05; 1.1438; 5.8813
2000-03-13-06; 1.2993; 6.0825
2000-03-13-07; 0.9816; 5.8728
2000-03-13-08; 1.1378; 5.5086
2000-03-13-09; 1.0556; 5.3619
2000-03-13-10; 0.9475; 5.2141
2000-03-13-11; 0.9783; 5.9371
2000-03-13-12; 0.8303; 5.6394
2000-03-13-13; 0.9394; 6.5251
2000-03-13-14; 0.8708; 5.8045
2000-03-13-15; 0.7549; 5.2078
2000-03-13-16; 0.7560; 7.2795
2000-03-13-17; 0.7882; 7.2565
2000-03-13-18; 0.7571; 6.2787
2000-03-13-19; 0.7246; 5.7842
2000-03-13-20; 0.7831; 5.4402
2000-03-13-21; 0.6906; 5.9115
2000-03-13-22; 0.6369; 5.7951
2000-03-13-23; 0.5768; 5.8839
2000-03-14-00; 0.6419; 4.2532
2000-03-14-01; 0.6099; 4.7878
2000-03-14-02; 0.6261; 6.4204
2000-03-14-03; 0.6518; 7.5473
2000-03-14-04; 0.6906; 7.9663
2000-03-14-05; 0.6536; 7.8903
2000-03-14-06; 0.6209; 8.4644
2000-03-14-07; 0.5372; 9.3239
2000-03-14-08; 0.6164; 10.0440
2000-03-14-09; 0.5182; 8.2224
2000-03-14-10; 0.4695; 9.3787
2000-03-14-11; 0.4583; 9.3540
2000-03-14-12; 0.3841; 8.4060
2000-03-14-13; 0.4738; 8.3214
2000-03-14-14; 0.4404; 6.4152
2000-03-14-15; 0.5782; 5.7831
2000-03-14-16; 0.5959; 5.3671
2000-03-14-17; 0.8461; 4.1621
2000-03-14-18; 1.2483; 4.2807
2000-03-14-19; 1.3763; 4.4921
2000-03-14-20; 1.2165; 4.5454
2000-03-14-21; 1.3640; 4.7021
2000-03-14-22; 1.6446; 4.7948
2000-03-14-23; 1.6056; 4.8101
2000-03-15-00; 1.8714; 5.0101
2000-03-15-01; 1.8744; 5.0927
2000-03-15-02; 1.9271; 5.2096
2000-03-15-03; 1.9236; 5.4017
2000-03-15-04; 1.6959; 5.1234
2000-03-15-05; 1.6407; 5.1544
2000-03-15-06; 1.5432; 5.2570
2000-03-15-07; 1.5040; 5.1711
2000-03-15-08; 1.4165; 5.2817
2000-03-15-09; 1.3525; 5.1967
2000-03-15-10; 1.2396; 5.0372
2000-03-15-11; 1.2128; 4.8963
2000-03-15-12; 1.0762; 4.6894
2000-03-15-13; 1.0430; 4.7586
2000-03-15-14; 1.0054; 4.6614
2000-03-15-15; 0.8931; 4.6521
2000-03-15-16; 0.9042; 4.5280
2000-03-15-17; 0.8926; 4.2636
2000-03-15-18; 0.9505; 4.3349
2000-03-15-19; 0.8648; 4.3149
2000-03-15-20; 0.7993; 4.2838
2000-03-15-21; 0.8588; 4.4536
2000-03-15-22; 0.7738; 4.3993
2000-03-15-23; 0.7785; 4.5343
2000-03-16-00; 0.7146; 4.4361
2000-03-16-01; 0.7571; 4.4340
2000-03-16-02; 0.9157; 4.4088
2000-03-16-03; 1.2178; 4.4027
2000-03-16-04; 1.5207; 4.7310
2000-03-16-05; 1.8071; 5.0413
2000-03-16-06; 1.7352; 4.7831
2000-03-16-07; 1.6296; 4.7620
2000-03-16-08; 1.5585; 4.7988
2000-03-16-09; 1.5024; 4.8500
2000-03-16-10; 1.5448; 4.8463
2000-03-16-11; 1.7119; 5.0637
2000-03-16-12; 1.5639; 5.0750
2000-03-16-13; 1.5152; 4.9495
2000-03-16-14; 1.4818; 5.0036
2000-03-16-15; 1.5056; 5.1289
2000-03-16-16; 1.4923; 5.3517
